player_name,age,nationality,club,position,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physicality
Lionel Messi,36,Argentina,Inter Miami,CAM,91,91,1281253,3500,81,66,87,90,70,58
Cristiano Ronaldo,38,Portugal,Al Nassr,ST,88,88,7511136,15394,95,90,71,89,31,56
Kylian Mbappe,24,France,Paris SG,ST,91,95,13038366,33513,69,79,66,87,30,48
Erling Haaland,23,Norway,Manchester City,ST,91,95,1440239,4173,83,72,70,85,30,63
Neymar Jr,31,Brazil,Al Hilal,LW,87,87,716342,2019,78,81,70,99,34,51
Kevin De Bruyne,32,Belgium,Manchester City,CM,91,91,74787164,190727,84,58,83,62,61,61
Vinicius Jr,23,Brazil,Real Madrid,LW,89,94,36951917,63317,88,85,74,82,30,54
Robert Lewandowski,34,Poland,Barcelona,ST,90,90,117263,1000,85,69,77,81,30,64
Mohamed Salah,31,Egypt,Liverpool,RW,89,89,8414558,9484,91,91,68,82,37,67
Karim Benzema,35,France,Al Ittihad,ST,89,89,2667327,6472,74,74,81,95,34,68
Luka Modric,37,Croatia,Real Madrid,CM,87,87,527072,1000,80,80,81,90,51,66
Toni Kroos,33,Germany,Real Madrid,CM,88,88,10938544,27467,78,65,82,62,70,62
Virgil van Dijk,31,Netherlands,Liverpool,CB,89,89,46715857,97107,58,35,72,57,77,64
Alisson Becker,30,Brazil,Liverpool,GK,89,89,146094,1000,39,30,51,30,30,62
Thibaut Courtois,31,Belgium,Real Madrid,GK,90,90,15489588,37268,33,30,52,30,30,63
Casemiro,31,Brazil,Manchester Utd,CDM,89,89,1106763,1723,80,67,66,77,72,79
Joshua Kimmich,28,Germany,Bayern Munich,CDM,89,91,5682035,13957,76,70,81,68,81,66
Pedri,21,Spain,Barcelona,CM,87,94,852185,1859,89,56,86,95,64,55
Gavi,19,Spain,Barcelona,CM,82,93,53258398,67906,65,68,73,81,64,72
Jude Bellingham,20,England,Real Madrid,CM,88,95,15618020,23172,71,65,88,68,73,70
